 3.178100e+006 -2.286027e+006  0.000000e+000  3.139215e+010  4.866304e+010  0.000000e+000 -8.007288e+010 -7.247189e+010  0.000000e+000 -1.499806e+011  2.228865e+009  0.000000e+000 -6.012230e+010  2.168049e+011  0.000000e+000 
 3.178626e+006 -2.286209e+006  0.000000e+000  3.126516e+010  4.874472e+010  0.000000e+000 -8.014703e+010 -7.238987e+010  0.000000e+000 -1.499820e+011  2.135058e+009  0.000000e+000 -6.019612e+010  2.167845e+011  0.000000e+000 
 3.179151e+006 -2.286392e+006  0.000000e+000  3.113795e+010  4.882607e+010  0.000000e+000 -8.022109e+010 -7.230778e+010  0.000000e+000 -1.499833e+011  2.041250e+009  0.000000e+000 -6.026992e+010  2.167639e+011  0.000000e+000 
 3.179676e+006 -2.286574e+006  0.000000e+000  3.101054e+010  4.890708e+010  0.000000e+000 -8.029507e+010 -7.222561e+010  0.000000e+000 -1.499846e+011  1.947442e+009  0.000000e+000 -6.034372e+010  2.167434e+011  0.000000e+000 
 3.180201e+006 -2.286757e+006  0.000000e+000  3.088291e+010  4.898776e+010  0.000000e+000 -8.036897e+010 -7.214337e+010  0.000000e+000 -1.499857e+011  1.853632e+009  0.000000e+000 -6.041752e+010  2.167229e+011  0.000000e+000 
 3.180726e+006 -2.286940e+006  0.000000e+000  3.075507e+010  4.906811e+010  0.000000e+000 -8.044278e+010 -7.206105e+010  0.000000e+000 -1.499869e+011  1.759822e+009  0.000000e+000 -6.049131e+010  2.167023e+011  0.000000e+000 
 3.181250e+006 -2.287123e+006  0.000000e+000  3.062703e+010  4.914812e+010  0.000000e+000 -8.051650e+010 -7.197866e+010  0.000000e+000 -1.499879e+011  1.666011e+009  0.000000e+000 -6.056509e+010  2.166817e+011  0.000000e+000 
 3.181773e+006 -2.287306e+006  0.000000e+000  3.049877e+010  4.922780e+010  0.000000e+000 -8.059015e+010 -7.189619e+010  0.000000e+000 -1.499890e+011  1.572199e+009  0.000000e+000 -6.063886e+010  2.166610e+011  0.000000e+000 
 3.182297e+006 -2.287489e+006  0.000000e+000  3.037031e+010  4.930714e+010  0.000000e+000 -8.066371e+010 -7.181364e+010  0.000000e+000 -1.499899e+011  1.478387e+009  0.000000e+000 -6.071262e+010  2.166404e+011  0.000000e+000 
 3.182820e+006 -2.287673e+006  0.000000e+000  3.024164e+010  4.938615e+010  0.000000e+000 -8.073718e+010 -7.173102e+010  0.000000e+000 -1.499908e+011  1.384574e+009  0.000000e+000 -6.078638e+010  2.166197e+011  0.000000e+000 
