           h                   log(h)                     E(h)
1.145475e-004 -9.074521e+000 1.285504e-004
1.146789e-004 -9.073375e+000 1.286978e-004
1.148106e-004 -9.072227e+000 1.288456e-004
1.149425e-004 -9.071078e+000 1.289937e-004
1.150748e-004 -9.069928e+000 1.291422e-004
1.152074e-004 -9.068777e+000 1.292909e-004
1.153403e-004 -9.067624e+000 1.294401e-004
1.154734e-004 -9.066470e+000 1.295896e-004
1.156069e-004 -9.065315e+000 1.297394e-004
1.157407e-004 -9.064158e+000 1.298895e-004
1.158749e-004 -9.063000e+000 1.300401e-004
1.160093e-004 -9.061840e+000 1.301909e-004
1.161440e-004 -9.060680e+000 1.303422e-004
1.162791e-004 -9.059517e+000 1.304937e-004
1.164144e-004 -9.058354e+000 1.306456e-004
1.165501e-004 -9.057189e+000 1.307979e-004
1.166861e-004 -9.056023e+000 1.309506e-004
1.168224e-004 -9.054855e+000 1.311035e-004
1.169591e-004 -9.053687e+000 1.312569e-004
1.170960e-004 -9.052516e+000 1.314106e-004
1.172333e-004 -9.051345e+000 1.315647e-004
1.173709e-004 -9.050172e+000 1.317191e-004
1.175088e-004 -9.048997e+000 1.318739e-004
1.176471e-004 -9.047821e+000 1.320290e-004
1.177856e-004 -9.046644e+000 1.321845e-004
1.179245e-004 -9.045466e+000 1.323404e-004
1.180638e-004 -9.044286e+000 1.324967e-004
1.182033e-004 -9.043104e+000 1.326533e-004
1.183432e-004 -9.041922e+000 1.328103e-004
1.184834e-004 -9.040738e+000 1.329677e-004
1.186240e-004 -9.039552e+000 1.331254e-004
1.187648e-004 -9.038365e+000 1.332835e-004
1.189061e-004 -9.037177e+000 1.334420e-004
1.190476e-004 -9.035987e+000 1.336009e-004
1.191895e-004 -9.034796e+000 1.337601e-004
1.193317e-004 -9.033603e+000 1.339198e-004
1.194743e-004 -9.032409e+000 1.340798e-004
1.196172e-004 -9.031214e+000 1.342402e-004
1.197605e-004 -9.030017e+000 1.344009e-004
1.199041e-004 -9.028818e+000 1.345621e-004
1.200480e-004 -9.027619e+000 1.347237e-004
1.201923e-004 -9.026418e+000 1.348856e-004
1.203369e-004 -9.025215e+000 1.350479e-004
1.204819e-004 -9.024011e+000 1.352106e-004
1.206273e-004 -9.022805e+000 1.353737e-004
1.207729e-004 -9.021598e+000 1.355373e-004
1.209190e-004 -9.020390e+000 1.357012e-004
1.210654e-004 -9.019180e+000 1.358655e-004
1.212121e-004 -9.017968e+000 1.360301e-004
1.213592e-004 -9.016756e+000 1.361952e-004
1.215067e-004 -9.015541e+000 1.363607e-004
1.216545e-004 -9.014325e+000 1.365266e-004
1.218027e-004 -9.013108e+000 1.366929e-004
1.219512e-004 -9.011889e+000 1.368596e-004
1.221001e-004 -9.010669e+000 1.370268e-004
1.222494e-004 -9.009447e+000 1.371943e-004
1.223990e-004 -9.008224e+000 1.373622e-004
1.225490e-004 -9.006999e+000 1.375306e-004
1.226994e-004 -9.005773e+000 1.376993e-004
1.228501e-004 -9.004545e+000 1.378685e-004
1.230012e-004 -9.003316e+000 1.380381e-004
1.231527e-004 -9.002085e+000 1.382081e-004
1.233046e-004 -9.000853e+000 1.383785e-004
1.234568e-004 -8.999619e+000 1.385494e-004
1.236094e-004 -8.998384e+000 1.387206e-004
1.237624e-004 -8.997147e+000 1.388923e-004
1.239157e-004 -8.995909e+000 1.390645e-004
1.240695e-004 -8.994669e+000 1.392370e-004
1.242236e-004 -8.993427e+000 1.394100e-004
1.243781e-004 -8.992184e+000 1.395834e-004
1.245330e-004 -8.990940e+000 1.397572e-004
1.246883e-004 -8.989694e+000 1.399315e-004
1.248439e-004 -8.988446e+000 1.401062e-004
1.250000e-004 -8.987197e+000 1.402813e-004
1.251564e-004 -8.985946e+000 1.404569e-004
1.253133e-004 -8.984694e+000 1.406330e-004
1.254705e-004 -8.983440e+000 1.408094e-004
1.256281e-004 -8.982184e+000 1.409863e-004
1.257862e-004 -8.980927e+000 1.411637e-004
1.259446e-004 -8.979669e+000 1.413415e-004
1.261034e-004 -8.978408e+000 1.415197e-004
1.262626e-004 -8.977146e+000 1.416984e-004
1.264223e-004 -8.975883e+000 1.418776e-004
1.265823e-004 -8.974618e+000 1.420572e-004
1.267427e-004 -8.973351e+000 1.422372e-004
1.269036e-004 -8.972083e+000 1.424177e-004
1.270648e-004 -8.970813e+000 1.425987e-004
1.272265e-004 -8.969542e+000 1.427802e-004
1.273885e-004 -8.968269e+000 1.429621e-004
1.275510e-004 -8.966994e+000 1.431444e-004
1.277139e-004 -8.965718e+000 1.433272e-004
1.278772e-004 -8.964440e+000 1.435105e-004
1.280410e-004 -8.963160e+000 1.436943e-004
1.282051e-004 -8.961879e+000 1.438785e-004
1.283697e-004 -8.960596e+000 1.440632e-004
1.285347e-004 -8.959312e+000 1.442484e-004
1.287001e-004 -8.958025e+000 1.444341e-004
1.288660e-004 -8.956738e+000 1.446202e-004
1.290323e-004 -8.955448e+000 1.448068e-004
1.291990e-004 -8.954157e+000 1.449939e-004
1.293661e-004 -8.952864e+000 1.451815e-004
1.295337e-004 -8.951570e+000 1.453696e-004
1.297017e-004 -8.950273e+000 1.455582e-004
1.298701e-004 -8.948976e+000 1.457472e-004
1.300390e-004 -8.947676e+000 1.459367e-004
1.302083e-004 -8.946375e+000 1.461268e-004
1.303781e-004 -8.945072e+000 1.463173e-004
