                       x                        y                        z
 3.831672e+008  3.064122e+007  0.000000e+000
 3.831478e+008  3.088197e+007  0.000000e+000
 3.831282e+008  3.112271e+007  0.000000e+000
 3.831085e+008  3.136343e+007  0.000000e+000
 3.830886e+008  3.160415e+007  0.000000e+000
 3.830686e+008  3.184485e+007  0.000000e+000
 3.830485e+008  3.208554e+007  0.000000e+000
 3.830282e+008  3.232621e+007  0.000000e+000
 3.830077e+008  3.256688e+007  0.000000e+000
 3.829871e+008  3.280753e+007  0.000000e+000
 3.829663e+008  3.304817e+007  0.000000e+000
 3.829454e+008  3.328879e+007  0.000000e+000
 3.829243e+008  3.352940e+007  0.000000e+000
 3.829031e+008  3.377000e+007  0.000000e+000
 3.828817e+008  3.401059e+007  0.000000e+000
 3.828602e+008  3.425116e+007  0.000000e+000
 3.828385e+008  3.449172e+007  0.000000e+000
 3.828167e+008  3.473226e+007  0.000000e+000
 3.827947e+008  3.497279e+007  0.000000e+000
 3.827726e+008  3.521331e+007  0.000000e+000
 3.827503e+008  3.545381e+007  0.000000e+000
 3.827279e+008  3.569430e+007  0.000000e+000
 3.827053e+008  3.593477e+007  0.000000e+000
 3.826826e+008  3.617524e+007  0.000000e+000
 3.826597e+008  3.641568e+007  0.000000e+000
 3.826367e+008  3.665611e+007  0.000000e+000
 3.826135e+008  3.689653e+007  0.000000e+000
 3.825902e+008  3.713694e+007  0.000000e+000
 3.825667e+008  3.737732e+007  0.000000e+000
 3.825430e+008  3.761770e+007  0.000000e+000
 3.825193e+008  3.785806e+007  0.000000e+000
 3.824953e+008  3.809840e+007  0.000000e+000
 3.824712e+008  3.833873e+007  0.000000e+000
 3.824470e+008  3.857904e+007  0.000000e+000
 3.824226e+008  3.881934e+007  0.000000e+000
 3.823981e+008  3.905962e+007  0.000000e+000
 3.823734e+008  3.929989e+007  0.000000e+000
 3.823485e+008  3.954014e+007  0.000000e+000
 3.823235e+008  3.978038e+007  0.000000e+000
 3.822984e+008  4.002060e+007  0.000000e+000
 3.822731e+008  4.026081e+007  0.000000e+000
 3.822476e+008  4.050100e+007  0.000000e+000
 3.822220e+008  4.074117e+007  0.000000e+000
 3.821963e+008  4.098133e+007  0.000000e+000
 3.821704e+008  4.122147e+007  0.000000e+000
 3.821443e+008  4.146159e+007  0.000000e+000
 3.821181e+008  4.170170e+007  0.000000e+000
 3.820918e+008  4.194179e+007  0.000000e+000
 3.820653e+008  4.218187e+007  0.000000e+000
 3.820386e+008  4.242193e+007  0.000000e+000
 3.820118e+008  4.266197e+007  0.000000e+000
 3.819848e+008  4.290199e+007  0.000000e+000
 3.819577e+008  4.314200e+007  0.000000e+000
 3.819305e+008  4.338199e+007  0.000000e+000
 3.819031e+008  4.362197e+007  0.000000e+000
 3.818755e+008  4.386192e+007  0.000000e+000
 3.818478e+008  4.410186e+007  0.000000e+000
 3.818199e+008  4.434178e+007  0.000000e+000
 3.817919e+008  4.458169e+007  0.000000e+000
 3.817638e+008  4.482158e+007  0.000000e+000
 3.817354e+008  4.506144e+007  0.000000e+000
 3.817070e+008  4.530130e+007  0.000000e+000
