                       x                        y                        z
 3.844000e+008  0.000000e+000  0.000000e+000
 3.843999e+008  0.000000e+000  0.000000e+000
 3.843997e+008  0.000000e+000  0.000000e+000
 3.843993e+008  0.000000e+000  0.000000e+000
 3.843988e+008  0.000000e+000  0.000000e+000
 3.843981e+008  0.000000e+000  0.000000e+000
 3.843973e+008  0.000000e+000  0.000000e+000
 3.843963e+008  0.000000e+000  0.000000e+000
 3.843951e+008  0.000000e+000  0.000000e+000
 3.843939e+008  0.000000e+000  0.000000e+000
 3.843924e+008  0.000000e+000  0.000000e+000
 3.843908e+008  0.000000e+000  0.000000e+000
 3.843891e+008  0.000000e+000  0.000000e+000
 3.843872e+008  0.000000e+000  0.000000e+000
 3.843851e+008  0.000000e+000  0.000000e+000
 3.843829e+008  0.000000e+000  0.000000e+000
 3.843806e+008  0.000000e+000  0.000000e+000
 3.843781e+008  0.000000e+000  0.000000e+000
 3.843754e+008  0.000000e+000  0.000000e+000
 3.843726e+008  0.000000e+000  0.000000e+000
 3.843696e+008  0.000000e+000  0.000000e+000
 3.843665e+008  0.000000e+000  0.000000e+000
 3.843633e+008  0.000000e+000  0.000000e+000
 3.843599e+008  0.000000e+000  0.000000e+000
 3.843563e+008  0.000000e+000  0.000000e+000
 3.843526e+008  0.000000e+000  0.000000e+000
 3.843487e+008  0.000000e+000  0.000000e+000
 3.843447e+008  0.000000e+000  0.000000e+000
 3.843405e+008  0.000000e+000  0.000000e+000
 3.843362e+008  0.000000e+000  0.000000e+000
 3.843317e+008  0.000000e+000  0.000000e+000
 3.843271e+008  0.000000e+000  0.000000e+000
 3.843223e+008  0.000000e+000  0.000000e+000
 3.843174e+008  0.000000e+000  0.000000e+000
 3.843123e+008  0.000000e+000  0.000000e+000
 3.843070e+008  0.000000e+000  0.000000e+000
 3.843017e+008  0.000000e+000  0.000000e+000
 3.842961e+008  0.000000e+000  0.000000e+000
 3.842904e+008  0.000000e+000  0.000000e+000
 3.842846e+008  0.000000e+000  0.000000e+000
 3.842786e+008  0.000000e+000  0.000000e+000
 3.842724e+008  0.000000e+000  0.000000e+000
 3.842661e+008  0.000000e+000  0.000000e+000
 3.842597e+008  0.000000e+000  0.000000e+000
 3.842531e+008  0.000000e+000  0.000000e+000
 3.842463e+008  0.000000e+000  0.000000e+000
 3.842394e+008  0.000000e+000  0.000000e+000
 3.842324e+008  0.000000e+000  0.000000e+000
 3.842252e+008  0.000000e+000  0.000000e+000
 3.842178e+008  0.000000e+000  0.000000e+000
 3.842103e+008  0.000000e+000  0.000000e+000
 3.842026e+008  0.000000e+000  0.000000e+000
 3.841948e+008  0.000000e+000  0.000000e+000
