                       x                        y                        z
 3.844000e+008  0.000000e+000  0.000000e+000
 3.843999e+008  3.622885e+005  0.000000e+000
 3.843997e+008  7.245768e+005  0.000000e+000
 3.843993e+008  1.086865e+006  0.000000e+000
 3.843988e+008  1.449152e+006  0.000000e+000
 3.843981e+008  1.811439e+006  0.000000e+000
 3.843973e+008  2.173726e+006  0.000000e+000
 3.843963e+008  2.536011e+006  0.000000e+000
 3.843951e+008  2.898296e+006  0.000000e+000
 3.843939e+008  3.260579e+006  0.000000e+000
 3.843924e+008  3.622861e+006  0.000000e+000
 3.843908e+008  3.985142e+006  0.000000e+000
 3.843891e+008  4.347421e+006  0.000000e+000
 3.843872e+008  4.709698e+006  0.000000e+000
 3.843851e+008  5.071973e+006  0.000000e+000
 3.843829e+008  5.434247e+006  0.000000e+000
 3.843806e+008  5.796518e+006  0.000000e+000
 3.843781e+008  6.158787e+006  0.000000e+000
 3.843754e+008  6.521054e+006  0.000000e+000
 3.843726e+008  6.883318e+006  0.000000e+000
 3.843697e+008  7.245579e+006  0.000000e+000
 3.843665e+008  7.607838e+006  0.000000e+000
 3.843633e+008  7.970093e+006  0.000000e+000
 3.843599e+008  8.332345e+006  0.000000e+000
 3.843563e+008  8.694594e+006  0.000000e+000
 3.843526e+008  9.056840e+006  0.000000e+000
 3.843487e+008  9.419082e+006  0.000000e+000
 3.843447e+008  9.781320e+006  0.000000e+000
 3.843405e+008  1.014355e+007  0.000000e+000
 3.843362e+008  1.050578e+007  0.000000e+000
 3.843317e+008  1.086801e+007  0.000000e+000
 3.843271e+008  1.123023e+007  0.000000e+000
 3.843223e+008  1.159245e+007  0.000000e+000
 3.843174e+008  1.195466e+007  0.000000e+000
 3.843123e+008  1.231687e+007  0.000000e+000
 3.843071e+008  1.267908e+007  0.000000e+000
 3.843017e+008  1.304127e+007  0.000000e+000
 3.842961e+008  1.340347e+007  0.000000e+000
 3.842905e+008  1.376566e+007  0.000000e+000
 3.842846e+008  1.412784e+007  0.000000e+000
 3.842786e+008  1.449001e+007  0.000000e+000
 3.842725e+008  1.485219e+007  0.000000e+000
 3.842662e+008  1.521435e+007  0.000000e+000
 3.842597e+008  1.557651e+007  0.000000e+000
 3.842531e+008  1.593866e+007  0.000000e+000
 3.842464e+008  1.630081e+007  0.000000e+000
 3.842395e+008  1.666295e+007  0.000000e+000
 3.842324e+008  1.702509e+007  0.000000e+000
 3.842252e+008  1.738721e+007  0.000000e+000
 3.842179e+008  1.774933e+007  0.000000e+000
 3.842104e+008  1.811145e+007  0.000000e+000
 3.842027e+008  1.847355e+007  0.000000e+000
 3.841949e+008  1.883565e+007  0.000000e+000
 3.841870e+008  1.919774e+007  0.000000e+000
 3.841788e+008  1.955983e+007  0.000000e+000
 3.841706e+008  1.992190e+007  0.000000e+000
 3.841622e+008  2.028397e+007  0.000000e+000
 3.841536e+008  2.064603e+007  0.000000e+000
 3.841449e+008  2.100809e+007  0.000000e+000
 3.841360e+008  2.137013e+007  0.000000e+000
 3.841270e+008  2.173216e+007  0.000000e+000
 3.841178e+008  2.209419e+007  0.000000e+000
 3.841085e+008  2.245621e+007  0.000000e+000
 3.840990e+008  2.281822e+007  0.000000e+000
 3.840894e+008  2.318022e+007  0.000000e+000
 3.840796e+008  2.354221e+007  0.000000e+000
 3.840697e+008  2.390419e+007  0.000000e+000
 3.840596e+008  2.426617e+007  0.000000e+000
 3.840494e+008  2.462813e+007  0.000000e+000
 3.840390e+008  2.499008e+007  0.000000e+000
 3.840285e+008  2.535203e+007  0.000000e+000
 3.840178e+008  2.571396e+007  0.000000e+000
 3.840070e+008  2.607588e+007  0.000000e+000
 3.839960e+008  2.643780e+007  0.000000e+000
 3.839848e+008  2.679970e+007  0.000000e+000
 3.839736e+008  2.716159e+007  0.000000e+000
 3.839621e+008  2.752348e+007  0.000000e+000
 3.839505e+008  2.788535e+007  0.000000e+000
 3.839388e+008  2.824721e+007  0.000000e+000
 3.839269e+008  2.860906e+007  0.000000e+000
 3.839149e+008  2.897089e+007  0.000000e+000
 3.839027e+008  2.933272e+007  0.000000e+000
 3.838903e+008  2.969453e+007  0.000000e+000
 3.838778e+008  3.005634e+007  0.000000e+000
 3.838652e+008  3.041813e+007  0.000000e+000
 3.838524e+008  3.077991e+007  0.000000e+000
 3.838395e+008  3.114168e+007  0.000000e+000
 3.838264e+008  3.150343e+007  0.000000e+000
 3.838131e+008  3.186517e+007  0.000000e+000
 3.837997e+008  3.222690e+007  0.000000e+000
 3.837862e+008  3.258862e+007  0.000000e+000
 3.837725e+008  3.295032e+007  0.000000e+000
 3.837586e+008  3.331202e+007  0.000000e+000
 3.837446e+008  3.367370e+007  0.000000e+000
 3.837305e+008  3.403536e+007  0.000000e+000
 3.837162e+008  3.439701e+007  0.000000e+000
 3.837017e+008  3.475865e+007  0.000000e+000
 3.836871e+008  3.512028e+007  0.000000e+000
 3.836724e+008  3.548189e+007  0.000000e+000
 3.836575e+008  3.584349e+007  0.000000e+000
 3.836424e+008  3.620507e+007  0.000000e+000
 3.836272e+008  3.656664e+007  0.000000e+000
 3.836118e+008  3.692819e+007  0.000000e+000
 3.835963e+008  3.728973e+007  0.000000e+000
 3.835807e+008  3.765126e+007  0.000000e+000
 3.835649e+008  3.801277e+007  0.000000e+000
 3.835489e+008  3.837427e+007  0.000000e+000
 3.835328e+008  3.873575e+007  0.000000e+000
 3.835166e+008  3.909721e+007  0.000000e+000
 3.835002e+008  3.945866e+007  0.000000e+000
 3.834836e+008  3.982010e+007  0.000000e+000
 3.834669e+008  4.018152e+007  0.000000e+000
 3.834501e+008  4.054292e+007  0.000000e+000
 3.834330e+008  4.090431e+007  0.000000e+000
 3.834159e+008  4.126568e+007  0.000000e+000
 3.833986e+008  4.162704e+007  0.000000e+000
 3.833811e+008  4.198838e+007  0.000000e+000
 3.833635e+008  4.234970e+007  0.000000e+000
 3.833458e+008  4.271101e+007  0.000000e+000
 3.833279e+008  4.307230e+007  0.000000e+000
 3.833098e+008  4.343357e+007  0.000000e+000
 3.832916e+008  4.379483e+007  0.000000e+000
 3.832733e+008  4.415607e+007  0.000000e+000
 3.832548e+008  4.451729e+007  0.000000e+000
 3.832361e+008  4.487849e+007  0.000000e+000
 3.832173e+008  4.523968e+007  0.000000e+000
 3.831983e+008  4.560085e+007  0.000000e+000
 3.831792e+008  4.596200e+007  0.000000e+000
 3.831600e+008  4.632313e+007  0.000000e+000
 3.831406e+008  4.668425e+007  0.000000e+000
 3.831210e+008  4.704535e+007  0.000000e+000
 3.831013e+008  4.740642e+007  0.000000e+000
 3.830815e+008  4.776748e+007  0.000000e+000
 3.830615e+008  4.812853e+007  0.000000e+000
 3.830413e+008  4.848955e+007  0.000000e+000
 3.830211e+008  4.885055e+007  0.000000e+000
 3.830006e+008  4.921154e+007  0.000000e+000
 3.829800e+008  4.957250e+007  0.000000e+000
 3.829593e+008  4.993345e+007  0.000000e+000
 3.829384e+008  5.029438e+007  0.000000e+000
 3.829173e+008  5.065529e+007  0.000000e+000
 3.828961e+008  5.101617e+007  0.000000e+000
 3.828748e+008  5.137704e+007  0.000000e+000
 3.828533e+008  5.173789e+007  0.000000e+000
 3.828317e+008  5.209872e+007  0.000000e+000
