           h                   log(h)                     E(h)
1.145475e-004 -9.074521e+000 3.987587e-009
1.146789e-004 -9.073375e+000 3.996744e-009
1.148106e-004 -9.072227e+000 4.005891e-009
1.149425e-004 -9.071078e+000 4.015082e-009
1.150748e-004 -9.069928e+000 4.024431e-009
1.152074e-004 -9.068777e+000 4.033710e-009
1.153403e-004 -9.067624e+000 4.042925e-009
1.154734e-004 -9.066470e+000 4.052327e-009
1.156069e-004 -9.065315e+000 4.061617e-009
1.157407e-004 -9.064158e+000 4.071135e-009
1.158749e-004 -9.063000e+000 4.080588e-009
1.160093e-004 -9.061840e+000 4.089940e-009
1.161440e-004 -9.060680e+000 4.099466e-009
1.162791e-004 -9.059517e+000 4.109068e-009
1.164144e-004 -9.058354e+000 4.118564e-009
1.165501e-004 -9.057189e+000 4.128270e-009
1.166861e-004 -9.056023e+000 4.137936e-009
1.168224e-004 -9.054855e+000 4.147601e-009
1.169591e-004 -9.053687e+000 4.157230e-009
1.170960e-004 -9.052516e+000 4.167026e-009
1.172333e-004 -9.051345e+000 4.176723e-009
1.173709e-004 -9.050172e+000 4.186536e-009
1.175088e-004 -9.048997e+000 4.196452e-009
1.176471e-004 -9.047821e+000 4.206242e-009
1.177856e-004 -9.046644e+000 4.216251e-009
1.179245e-004 -9.045466e+000 4.226213e-009
1.180638e-004 -9.044286e+000 4.236173e-009
1.182033e-004 -9.043104e+000 4.246154e-009
1.183432e-004 -9.041922e+000 4.256233e-009
1.184834e-004 -9.040738e+000 4.266365e-009
1.186240e-004 -9.039552e+000 4.276467e-009
1.187648e-004 -9.038365e+000 4.286635e-009
1.189061e-004 -9.037177e+000 4.296792e-009
1.190476e-004 -9.035987e+000 4.307089e-009
1.191895e-004 -9.034796e+000 4.317248e-009
1.193317e-004 -9.033603e+000 4.327638e-009
1.194743e-004 -9.032409e+000 4.337911e-009
1.196172e-004 -9.031214e+000 4.348304e-009
1.197605e-004 -9.030017e+000 4.358725e-009
1.199041e-004 -9.028818e+000 4.369280e-009
1.200480e-004 -9.027619e+000 4.379689e-009
1.201923e-004 -9.026418e+000 4.390215e-009
1.203369e-004 -9.025215e+000 4.400872e-009
1.204819e-004 -9.024011e+000 4.411427e-009
1.206273e-004 -9.022805e+000 4.422049e-009
1.207729e-004 -9.021598e+000 4.432830e-009
1.209190e-004 -9.020390e+000 4.443482e-009
1.210654e-004 -9.019180e+000 4.454311e-009
1.212121e-004 -9.017968e+000 4.465129e-009
1.213592e-004 -9.016756e+000 4.475990e-009
1.215067e-004 -9.015541e+000 4.486802e-009
1.216545e-004 -9.014325e+000 4.497695e-009
1.218027e-004 -9.013108e+000 4.508651e-009
1.219512e-004 -9.011889e+000 4.519715e-009
